<<<<<<< HEAD
ids,label
839,bird
843,bird
844,automobile
845,cat
846,bird
848,bird
862,cat
863,cat
865,automobile
866,cat
869,automobile
870,cat
871,automobile
873,bird
874,cat
877,bird
878,cat
882,cat
887,automobile
894,automobile
895,automobile
896,cat
898,cat
899,dog
900,bird
903,dog
906,automobile
910,dog
911,cat
915,automobile
916,cat
924,dog
925,dog
931,bird
932,cat
933,bird
935,bird
936,bird
937,dog
941,automobile
945,cat
947,automobile
948,cat
950,cat
953,automobile
957,cat
961,automobile
962,automobile
968,automobile
972,bird
973,automobile
978,automobile
980,bird
986,cat
987,automobile
988,bird
990,automobile
991,dog
995,cat
997,automobile
998,cat
1000,dog
1005,automobile
1006,automobile
1013,automobile
1014,cat
1016,automobile
1019,dog
1020,automobile
1021,automobile
1024,cat
1025,dog
1030,cat
1031,cat
1033,cat
1038,bird
1039,bird
1041,dog
1042,dog
1043,bird
1045,dog
1046,bird
1047,automobile
1048,automobile
1050,cat
1051,bird
1053,cat
1054,automobile
1055,dog
1056,cat
1061,automobile
1065,cat
1070,cat
1074,cat
1083,bird
1084,dog
1088,cat
1095,bird
1097,dog
1098,automobile
1099,bird
1108,bird
1110,bird
1112,cat
1115,automobile
1116,dog
1117,dog
1120,dog
1121,cat
1123,cat
1124,cat
1126,bird
1129,cat
1131,automobile
1132,bird
1134,automobile
1138,dog
1141,automobile
1144,automobile
1146,bird
1148,bird
1150,bird
1151,bird
1156,automobile
1158,automobile
1163,cat
1166,cat
1168,cat
1172,bird
1173,cat
1174,automobile
1176,automobile
1179,cat
1180,cat
1181,cat
1182,automobile
1185,automobile
1187,automobile
1190,automobile
1191,automobile
1193,dog
1196,bird
1202,bird
1206,automobile
1208,cat
1212,automobile
1214,dog
1219,cat
1227,cat
1228,dog
1229,automobile
1230,dog
1232,automobile
1234,automobile
1235,dog
1238,automobile
1239,dog
1240,bird
1244,dog
1247,cat
1248,bird
1251,bird
1252,dog
1254,bird
1257,bird
1258,automobile
1260,automobile
1268,cat
1269,cat
1270,automobile
1274,cat
1275,cat
1276,dog
1277,bird
1278,bird
1280,cat
1283,dog
1288,automobile
1290,dog
1297,bird
1301,automobile
1306,automobile
1307,bird
1308,dog
1313,automobile
1316,dog
1318,dog
1321,bird
1325,bird
1328,dog
1329,dog
1330,bird
1332,automobile
1334,cat
1335,automobile
1337,dog
1339,dog
1340,automobile
1346,cat
1348,bird
1352,bird
1353,cat
1354,automobile
1355,dog
1356,bird
1362,dog
1363,automobile
1367,bird
1368,cat
1371,automobile
1372,automobile
1373,cat
1374,bird
1377,cat
1378,automobile
1382,bird
1385,dog
1386,cat
1388,dog
1389,dog
1392,bird
1395,cat
1396,automobile
1399,bird
1400,dog
1404,automobile
1405,automobile
1408,automobile
1410,automobile
1411,cat
1412,automobile
1413,automobile
1414,automobile
1416,cat
1435,automobile
1437,automobile
1438,dog
1442,cat
1444,automobile
1445,cat
1450,bird
1451,bird
1453,dog
1454,cat
1456,bird
1457,automobile
1458,automobile
1464,automobile
1467,automobile
1468,cat
1474,cat
1479,bird
1480,automobile
1481,bird
1493,automobile
1495,bird
1496,bird
1498,dog
1500,automobile
1501,bird
1502,bird
1504,automobile
1505,bird
1506,dog
1507,bird
1509,automobile
1511,automobile
1515,bird
1517,automobile
1518,cat
1524,cat
1525,cat
1527,dog
1528,bird
1530,cat
1536,dog
1538,cat
1539,bird
1542,dog
1543,dog
1545,automobile
1547,bird
1548,dog
1549,automobile
1552,cat
1559,dog
1561,dog
1564,automobile
1567,bird
1569,automobile
1571,dog
1575,bird
1577,dog
1581,bird
1583,automobile
1586,dog
1587,bird
1588,dog
1591,automobile
1593,cat
1594,cat
1595,cat
1597,cat
1598,dog
1599,dog
1603,cat
1604,automobile
1605,cat
1606,cat
1607,cat
1610,bird
1611,cat
1612,cat
1614,automobile
1620,dog
1621,automobile
1623,bird
1625,cat
1631,automobile
1633,automobile
1636,dog
1637,dog
1642,dog
1644,bird
1649,dog
1650,dog
1656,bird
1657,dog
1660,cat
1662,cat
1673,bird
1675,dog
1677,automobile
1678,bird
1681,dog
1684,automobile
1690,bird
1698,dog
1700,dog
1701,dog
1703,dog
1704,cat
1706,automobile
1709,bird
1711,automobile
1715,cat
1716,automobile
1723,bird
1731,dog
1733,cat
1736,dog
1738,dog
1740,automobile
1743,automobile
1745,dog
1746,bird
1747,automobile
1749,bird
1751,automobile
1752,dog
1756,bird
1758,bird
1759,dog
1761,automobile
1763,bird
1764,dog
1767,bird
1768,bird
1769,automobile
1771,bird
1773,dog
1774,dog
1775,cat
1779,cat
1782,cat
1784,automobile
1786,automobile
1787,cat
1788,cat
1793,dog
1794,cat
1797,automobile
1802,bird
1803,bird
1804,dog
1806,automobile
1807,dog
1810,automobile
1811,automobile
1812,dog
1813,cat
1818,dog
1825,bird
1829,automobile
1830,cat
1846,bird
1847,dog
1848,cat
1850,automobile
1852,bird
1854,dog
1855,dog
1857,dog
1859,bird
1861,cat
1862,dog
1863,dog
1868,bird
1870,bird
1871,cat
1872,dog
1876,bird
1877,cat
1880,automobile
1882,automobile
1883,cat
1885,dog
1887,cat
1888,bird
1894,cat
1901,dog
1904,automobile
1905,cat
1907,automobile
1908,dog
1909,cat
1918,bird
1920,bird
1921,bird
1922,dog
1923,automobile
1925,automobile
1929,bird
1930,automobile
1933,cat
1936,cat
1937,automobile
1940,dog
1942,bird
1947,cat
1948,dog
1950,dog
1954,bird
1955,bird
1957,cat
1960,bird
1963,bird
1964,cat
1969,automobile
1970,automobile
1976,dog
1977,dog
1979,cat
1981,cat
1988,dog
1991,automobile
1993,cat
1995,bird
1996,cat
1999,dog
2000,automobile
2001,dog
2003,dog
2005,dog
2009,automobile
2011,bird
2012,dog
2017,dog
2018,cat
2022,dog
2023,dog
2026,dog
2029,cat
2031,automobile
2033,bird
2034,cat
2036,dog
2037,dog
2038,bird
2042,automobile
2044,cat
2045,automobile
2046,cat
2047,dog
2049,cat
2051,dog
2054,cat
2055,dog
2056,dog
2057,dog
2060,dog
2061,dog
2063,automobile
2065,bird
2066,bird
2068,cat
2070,bird
2073,bird
2074,bird
2076,cat
2078,bird
2080,automobile
2081,cat
2082,bird
2083,bird
2086,automobile
2090,bird
2092,automobile
2094,dog
2096,bird
2097,bird
2099,automobile
2100,bird
2103,automobile
2106,dog
2107,cat
2112,automobile
2114,bird
2115,dog
2123,bird
2125,automobile
2127,bird
2132,bird
2133,cat
2137,bird
2142,automobile
2144,cat
2146,bird
2151,dog
2154,dog
2157,cat
2161,dog
2162,dog
2164,automobile
2165,bird
2168,dog
2170,bird
2171,bird
2172,dog
2173,cat
2175,cat
2176,automobile
2178,cat
2179,automobile
2181,cat
2187,dog
2189,bird
2193,bird
2199,bird
2201,dog
2205,dog
2206,automobile
2207,cat
2210,bird
2212,bird
2216,bird
2219,dog
2220,automobile
2221,bird
2224,automobile
2226,bird
2230,cat
2231,cat
2233,cat
2235,bird
2236,dog
2238,automobile
2242,bird
2243,cat
2247,dog
2252,cat
2253,cat
2255,automobile
2258,automobile
2259,dog
2261,cat
2262,bird
2268,cat
2269,cat
2270,bird
2273,dog
2274,automobile
2277,dog
2281,dog
2285,cat
2286,cat
2287,bird
2288,dog
2289,automobile
2291,dog
2292,dog
2294,automobile
2300,cat
2301,bird
2303,bird
2306,cat
2308,automobile
2312,bird
2314,cat
2315,bird
2316,dog
2317,dog
2318,bird
2320,dog
2321,bird
2327,automobile
2331,bird
2332,bird
2334,automobile
2335,dog
2339,bird
2342,dog
2345,automobile
2346,automobile
2349,dog
2350,cat
2351,automobile
2352,bird
2357,automobile
2359,bird
2361,bird
2362,cat
2363,bird
2369,automobile
2372,dog
2378,automobile
2381,dog
2383,bird
2384,dog
2390,automobile
2391,bird
2392,dog
2393,automobile
2396,automobile
2397,dog
2401,cat
2405,cat
2408,bird
2410,cat
2414,dog
2422,cat
2423,bird
2426,bird
2427,dog
2438,automobile
2439,automobile
2443,bird
2444,cat
2448,bird
2450,automobile
2452,bird
2453,cat
2454,automobile
2459,dog
2462,automobile
2464,bird
2466,bird
2472,dog
2477,automobile
2479,dog
2483,bird
2484,automobile
2487,dog
2489,cat
2494,dog
2498,cat
2504,automobile
2506,cat
2509,bird
2512,bird
2513,bird
2515,bird
2516,bird
2520,automobile
2522,automobile
2524,cat
2525,dog
2526,cat
2529,cat
2531,bird
2536,dog
2537,automobile
2538,dog
2540,bird
2541,automobile
2542,bird
2543,cat
2544,bird
2551,bird
2557,bird
2563,bird
2564,bird
2565,cat
2566,bird
2573,dog
2575,dog
2576,bird
2582,dog
2585,cat
2590,dog
2592,bird
2597,bird
2598,cat
2601,automobile
2606,cat
2607,automobile
2609,dog
2610,bird
2612,cat
2616,automobile
2617,cat
2618,dog
2620,automobile
2625,bird
2629,bird
2630,bird
2632,cat
2633,cat
2634,automobile
2636,automobile
2643,cat
2645,automobile
2646,cat
2647,automobile
2650,dog
2651,dog
2654,dog
2659,bird
2660,cat
2661,cat
2665,automobile
2667,automobile
2673,bird
2675,bird
2683,dog
2684,cat
2685,bird
2688,dog
2689,dog
2690,bird
2691,bird
2694,automobile
2695,bird
2696,bird
2698,cat
2701,automobile
2706,cat
2711,dog
2712,automobile
2716,dog
2718,dog
2720,cat
2722,dog
2723,bird
2726,dog
2728,bird
2729,dog
2731,dog
2733,cat
2735,bird
2739,bird
2740,automobile
2742,bird
2746,bird
2747,cat
2748,automobile
2750,dog
2751,bird
2752,cat
2755,dog
2757,automobile
2758,automobile
2759,cat
2760,bird
2764,automobile
2767,dog
2768,dog
2769,bird
2773,automobile
2774,bird
2775,cat
2777,dog
2779,cat
2784,automobile
2787,cat
2795,cat
2798,cat
2801,dog
2803,dog
2804,cat
2806,bird
2808,bird
2811,bird
2813,automobile
2814,automobile
2815,cat
2818,dog
2819,automobile
2822,cat
2823,cat
2825,bird
2827,dog
2828,bird
2829,cat
2831,cat
2832,cat
2836,cat
2838,automobile
2839,bird
2840,cat
2841,bird
2843,automobile
2845,dog
2850,dog
2852,bird
2855,cat
2856,bird
2859,automobile
2860,dog
2861,dog
2864,dog
2871,cat
2872,automobile
2875,automobile
2878,cat
2883,bird
2885,dog
2890,dog
2897,cat
2900,cat
2901,bird
2903,bird
2906,automobile
2911,automobile
2912,bird
2915,dog
2916,automobile
2918,bird
2920,bird
2922,cat
2923,cat
2924,automobile
2928,automobile
2929,automobile
2936,dog
2937,cat
2938,bird
2939,bird
2940,cat
2942,dog
2943,automobile
2947,automobile
2948,dog
2949,cat
2950,automobile
2952,cat
2955,bird
2963,cat
2969,dog
2970,dog
2972,cat
2977,bird
2978,bird
2983,dog
2984,bird
2985,bird
2986,automobile
2987,automobile
2988,dog
2989,dog
2991,cat
2997,bird
2998,dog
3000,dog
3001,automobile
3003,bird
3006,dog
3011,cat
3012,automobile
3013,cat
3017,dog
3018,dog
3019,dog
3020,automobile
3023,cat
3025,bird
3026,dog
3027,automobile
3028,automobile
3029,automobile
3032,bird
3033,automobile
3034,bird
3035,cat
3038,cat
3039,automobile
3045,dog
3049,cat
3052,cat
3058,automobile
3059,dog
3064,automobile
3065,cat
3066,automobile
3067,cat
3068,bird
3073,cat
3074,automobile
3076,bird
3077,automobile
3080,automobile
3083,dog
3084,cat
3085,bird
3091,automobile
3092,dog
3094,bird
3105,automobile
3107,dog
3113,cat
3114,bird
3115,dog
3122,automobile
3125,cat
3129,cat
3130,cat
3132,dog
3137,dog
3139,bird
3142,dog
3143,cat
3144,automobile
3146,bird
3147,bird
3149,automobile
3150,automobile
3152,automobile
3153,automobile
3159,bird
3162,automobile
3165,automobile
3167,bird
3174,bird
3175,automobile
3178,dog
3180,cat
3183,cat
3185,bird
3190,cat
3192,dog
3193,bird
3194,cat
3195,dog
3200,dog
3202,dog
3204,dog
3215,automobile
3220,cat
3221,dog
3227,bird
3228,cat
3230,cat
3231,cat
3234,cat
3235,dog
3236,dog
3239,automobile
3246,automobile
3247,cat
3249,cat
3250,bird
3251,dog
3254,cat
3255,dog
3259,cat
3262,bird
3263,automobile
3264,dog
3267,cat
3268,dog
3271,dog
3274,automobile
3275,dog
3280,cat
3281,bird
3285,automobile
3287,dog
3290,dog
3291,dog
3293,automobile
3298,cat
3304,bird
3306,dog
3313,bird
3315,cat
3319,bird
3320,bird
3322,bird
3323,dog
3324,cat
3328,bird
3329,cat
3333,bird
3334,dog
3341,automobile
3343,cat
3348,automobile
3351,automobile
3352,bird
3353,cat
3354,cat
3355,dog
3362,automobile
3363,bird
3369,dog
3370,automobile
3371,bird
3372,automobile
3376,dog
3379,dog
3381,dog
3382,bird
3386,bird
3387,cat
3389,automobile
3390,cat
3391,cat
3392,automobile
3393,dog
3394,automobile
3398,bird
3401,bird
3404,dog
3407,automobile
3408,bird
3411,dog
3413,cat
3414,cat
3418,automobile
3420,dog
3422,bird
3424,dog
3428,bird
3432,dog
3434,dog
3440,bird
3449,automobile
3451,dog
3452,dog
3453,bird
3454,bird
3456,cat
3458,dog
3460,automobile
3462,bird
3463,cat
3466,dog
3468,bird
3471,automobile
3473,bird
3474,bird
3479,cat
3480,bird
3485,automobile
3487,dog
3488,automobile
3489,cat
3491,cat
3495,bird
3496,dog
3500,automobile
3506,bird
3508,cat
3509,cat
3513,cat
3514,bird
3517,automobile
3518,dog
3520,automobile
3522,bird
3524,dog
3525,bird
3527,automobile
3528,automobile
3532,dog
3533,bird
3534,bird
3535,dog
3538,bird
3539,cat
3541,bird
3544,automobile
3546,dog
3549,automobile
3553,automobile
3554,automobile
3558,dog
3560,automobile
3565,automobile
3570,cat
3571,dog
3572,cat
3573,bird
3574,dog
3575,cat
3579,automobile
3583,automobile
3584,cat
3593,bird
3594,cat
3595,bird
3596,bird
3598,bird
3602,cat
3604,bird
3606,cat
3607,cat
3610,dog
3611,automobile
3612,automobile
3613,dog
3614,cat
3617,cat
3619,automobile
3622,dog
3623,dog
3624,bird
3628,cat
3629,automobile
3632,automobile
3633,cat
3634,cat
3637,bird
3642,automobile
3645,automobile
3646,cat
3647,automobile
3649,cat
3652,bird
3654,cat
3656,bird
3658,bird
3661,automobile
3663,automobile
3666,dog
3667,dog
3668,bird
3669,dog
3673,bird
3674,cat
3678,automobile
3681,bird
3682,cat
3685,bird
3688,dog
3691,automobile
3694,bird
3700,cat
3701,automobile
3702,automobile
3704,dog
3709,dog
3710,bird
3713,bird
3714,cat
3715,automobile
3716,cat
3719,dog
3720,bird
3721,bird
3723,automobile
3725,bird
3726,dog
3728,bird
3730,automobile
3733,bird
3735,dog
3736,cat
3737,bird
3741,bird
3743,cat
3745,automobile
3748,dog
3752,cat
3758,bird
3762,automobile
3764,automobile
3768,automobile
3771,bird
3772,automobile
3773,bird
3774,dog
3779,cat
3781,bird
3783,bird
3784,dog
3787,cat
3791,bird
3794,automobile
3796,dog
3798,dog
3799,cat
3801,bird
3804,dog
3806,dog
3808,dog
3810,cat
3814,automobile
3815,bird
3816,bird
3819,cat
3824,bird
3826,automobile
3828,automobile
3830,dog
3831,dog
3835,cat
3838,automobile
3839,dog
3844,bird
3849,dog
3852,bird
3855,automobile
3857,automobile
3859,cat
3863,bird
3864,cat
3867,cat
3868,dog
3875,bird
3878,dog
3882,automobile
3884,cat
3887,bird
3891,automobile
3892,dog
3895,automobile
3898,automobile
3900,cat
3901,cat
3904,automobile
3905,bird
3906,cat
3907,bird
3908,bird
3909,dog
3921,automobile
3922,bird
3923,cat
3924,dog
3925,automobile
3928,cat
3929,cat
3930,automobile
3931,dog
3934,bird
3942,automobile
3945,dog
3947,bird
3948,automobile
3949,dog
3951,automobile
3954,dog
3956,cat
3959,dog
3960,bird
3963,automobile
3969,bird
3976,automobile
3977,cat
3978,bird
3981,dog
3987,automobile
3988,automobile
3989,bird
3991,bird
3997,bird
3998,bird
4001,bird
4003,bird
4005,dog
4009,bird
4012,cat
4013,automobile
4015,automobile
4017,dog
4025,automobile
4030,automobile
4032,cat
4034,bird
4035,bird
4043,cat
4048,dog
4050,cat
4051,dog
4052,dog
4055,automobile
4059,automobile
4061,dog
4067,automobile
4069,dog
4071,cat
4072,dog
4074,bird
4075,bird
4077,cat
4078,dog
4080,automobile
4087,dog
4089,dog
4093,cat
4094,cat
4097,cat
4101,bird
4106,cat
4107,cat
4108,bird
4109,dog
4110,bird
4116,bird
4121,dog
4128,automobile
4129,automobile
4131,automobile
4133,bird
4134,automobile
4135,automobile
4136,bird
4139,dog
4140,dog
4143,dog
4144,automobile
4146,bird
4147,cat
4148,cat
4152,dog
4155,cat
4156,cat
4157,bird
4160,dog
4163,bird
4164,automobile
4166,automobile
4169,cat
4170,automobile
4172,dog
4174,bird
4175,cat
4176,cat
4182,dog
4189,automobile
4190,cat
4195,cat
4201,automobile
4203,bird
4204,bird
4206,automobile
4207,automobile
4208,bird
4210,cat
4212,automobile
4215,automobile
4221,bird
4224,dog
4225,dog
4231,bird
4232,dog
4234,bird
4236,automobile
4237,automobile
4238,dog
4241,dog
4244,bird
4245,automobile
4246,dog
4247,dog
4248,cat
4250,automobile
4259,dog
4264,bird
4266,cat
4271,automobile
4273,dog
4274,automobile
4275,dog
4277,cat
4278,automobile
4282,cat
4285,automobile
4286,bird
4288,automobile
4290,bird
4292,automobile
4299,bird
4302,bird
4303,dog
4306,cat
4307,cat
4312,dog
4314,automobile
4318,automobile
4319,bird
4320,automobile
4321,dog
4323,dog
4327,automobile
4331,bird
4334,cat
4337,automobile
4341,automobile
4342,cat
4343,dog
4346,cat
4352,cat
4358,dog
4359,bird
4366,bird
4369,bird
4371,automobile
4372,automobile
4375,cat
4378,automobile
4379,automobile
4388,bird
4390,dog
4391,cat
4392,dog
4393,cat
4394,dog
4400,cat
4401,automobile
4404,cat
4406,dog
4407,cat
4411,dog
4414,bird
4420,dog
4421,bird
4422,cat
4424,automobile
4425,automobile
4427,bird
4429,bird
4430,automobile
4431,automobile
4433,dog
4434,bird
4435,cat
4437,automobile
4438,bird
4440,bird
4441,automobile
4442,cat
4451,bird
4452,bird
4457,cat
4458,cat
4462,bird
4463,dog
4464,cat
4466,automobile
4467,cat
4469,dog
4471,dog
4475,automobile
4476,automobile
4478,automobile
4483,bird
4485,cat
4487,cat
4491,bird
4495,cat
4499,cat
4500,cat
4501,dog
4506,automobile
4507,dog
4516,automobile
4520,cat
4522,bird
4526,cat
4527,cat
4528,dog
4530,dog
4531,automobile
4532,automobile
4534,bird
4535,bird
4537,cat
4541,bird
4542,cat
4543,automobile
4545,cat
4546,bird
4547,cat
4549,automobile
4551,dog
4552,dog
4553,cat
4555,dog
4556,bird
4559,cat
4560,automobile
4561,cat
4565,bird
4572,bird
4574,cat
4581,cat
4587,dog
4589,cat
4593,dog
4594,automobile
4598,automobile
4601,bird
4602,automobile
4605,cat
4607,automobile
4611,automobile
4613,automobile
4614,cat
4615,dog
4617,cat
4618,cat
4622,bird
4623,dog
4624,dog
4626,dog
4628,dog
4630,bird
4631,dog
4632,dog
4633,automobile
4637,cat
4640,bird
4641,dog
4642,bird
4643,cat
4646,bird
4647,automobile
4652,cat
4653,bird
4658,automobile
4663,automobile
4665,cat
4674,cat
4682,cat
4684,automobile
4687,cat
4689,automobile
4690,bird
4691,bird
4696,dog
4697,dog
4699,dog
4705,cat
4706,bird
4708,cat
4710,cat
4713,automobile
4718,cat
4721,automobile
4724,dog
4729,bird
4730,bird
4732,bird
4736,automobile
4738,dog
4740,dog
4741,automobile
4747,dog
4749,bird
4752,automobile
4753,bird
4754,cat
4755,automobile
4760,cat
4762,automobile
4764,dog
4765,cat
4766,automobile
4773,automobile
4775,bird
4776,cat
4777,dog
4782,bird
4785,cat
4790,automobile
4795,dog
4797,dog
4799,automobile
4801,bird
4804,cat
4805,dog
4806,automobile
4808,cat
4810,dog
4811,bird
4814,cat
4818,cat
4819,dog
4820,cat
4822,automobile
4823,dog
4826,cat
4829,dog
4830,cat
4831,automobile
4833,bird
4838,automobile
4841,automobile
4842,bird
4843,automobile
4844,dog
4845,cat
4848,automobile
4849,dog
4850,automobile
4855,automobile
4858,bird
4860,dog
4862,cat
4863,automobile
4864,cat
4873,bird
4875,automobile
4876,cat
4883,bird
4885,bird
4886,cat
4887,dog
4888,dog
4890,automobile
4893,automobile
4895,automobile
4897,automobile
4899,bird
4900,cat
4903,bird
4906,dog
4907,dog
4912,automobile
4913,automobile
4914,cat
4915,dog
4917,dog
4918,cat
4921,dog
4925,dog
4927,automobile
4930,automobile
4933,cat
4934,dog
4935,dog
4936,cat
4938,cat
4942,dog
4947,dog
4948,automobile
4949,automobile
4950,bird
4954,automobile
4955,bird
4956,dog
4962,cat
4963,cat
4964,dog
4965,cat
4966,dog
4969,automobile
4970,bird
4973,automobile
4975,cat
4976,dog
4978,automobile
4980,automobile
4981,automobile
4982,cat
4987,cat
4988,dog
4992,automobile
4995,bird
4996,cat
4997,cat
4998,dog
4999,automobile
5005,dog
5007,cat
5011,cat
5015,bird
5019,automobile
5022,bird
5023,bird
5024,automobile
5025,dog
5029,cat
5032,bird
5033,cat
5035,dog
5040,cat
5042,bird
5044,dog
5046,dog
5047,dog
5048,automobile
5050,cat
5051,automobile
5056,automobile
5057,bird
5058,automobile
5061,automobile
5062,dog
5064,dog
5071,automobile
5076,dog
5079,automobile
5081,dog
5084,cat
5085,bird
5086,cat
5090,automobile
5098,dog
5099,bird
5100,cat
5101,dog
5102,dog
5108,automobile
5112,dog
5115,dog
5118,bird
5119,dog
5125,automobile
5127,automobile
5128,cat
5129,bird
5130,dog
5132,automobile
5133,bird
5134,dog
5135,automobile
5147,cat
5148,cat
5154,bird
5155,cat
5156,dog
5161,cat
5163,dog
5165,bird
5167,bird
5169,bird
5171,bird
5176,cat
5178,dog
5179,dog
5181,automobile
5182,automobile
5185,cat
5186,dog
5191,cat
5196,bird
5198,cat
5200,cat
5201,automobile
5204,cat
5206,cat
5210,dog
5212,dog
5213,cat
5214,automobile
5215,bird
5217,automobile
5218,cat
5219,bird
5222,dog
5226,automobile
5228,cat
5229,dog
5232,cat
5233,automobile
5235,automobile
5238,bird
5240,automobile
5243,automobile
5244,bird
5245,automobile
5251,dog
5258,bird
5261,bird
5265,bird
5268,cat
5269,dog
5270,automobile
5271,dog
5272,cat
5274,bird
5275,bird
5281,cat
5285,automobile
5290,cat
5298,dog
5303,dog
5306,cat
5307,automobile
5309,cat
5312,dog
5313,cat
5318,automobile
5321,automobile
5323,automobile
5324,bird
5331,bird
5336,cat
5337,dog
5340,cat
5343,cat
5344,bird
5347,automobile
5348,automobile
5349,cat
5352,dog
5353,automobile
5358,automobile
5361,cat
5362,bird
5366,automobile
5368,cat
5372,dog
5373,bird
5375,automobile
5376,dog
5377,dog
5378,automobile
5380,automobile
5381,cat
5385,bird
5386,automobile
5387,cat
5390,automobile
5394,automobile
5396,automobile
5401,bird
5404,bird
5405,bird
5409,automobile
5410,cat
5411,bird
5413,cat
5419,bird
5422,automobile
5424,cat
5426,dog
5431,automobile
5433,cat
5439,automobile
5441,dog
5442,bird
5447,dog
5449,automobile
5450,dog
5453,bird
5456,automobile
5458,cat
5459,dog
5463,dog
5467,dog
5468,dog
5469,dog
5470,automobile
5472,automobile
5473,dog
5474,automobile
5477,bird
5478,cat
5479,bird
5480,automobile
5482,dog
5483,automobile
5486,cat
5490,cat
5492,bird
5493,cat
5497,cat
5504,dog
5506,cat
5511,cat
5514,bird
5517,automobile
5518,cat
5522,bird
5525,cat
5528,dog
5529,cat
5530,cat
5532,cat
5533,bird
5535,cat
5537,bird
5540,dog
5547,bird
5549,dog
5550,dog
5552,dog
5553,dog
5559,cat
5560,cat
5563,automobile
5565,cat
5566,automobile
5570,dog
5572,automobile
5575,cat
5576,dog
5577,bird
5578,cat
5580,dog
5588,cat
5589,bird
5591,dog
5592,cat
5597,cat
5598,automobile
5599,bird
5603,dog
5604,automobile
5605,cat
5609,dog
5611,dog
5613,dog
5615,dog
5617,dog
5620,cat
5622,automobile
5624,automobile
5625,dog
5630,cat
5632,cat
5639,cat
5640,bird
5642,dog
5643,dog
5645,dog
5647,dog
5650,dog
5653,dog
5655,cat
5656,cat
5657,bird
5659,bird
5665,bird
5667,automobile
5671,cat
5673,dog
5678,automobile
5680,bird
5681,cat
5682,dog
5685,automobile
5687,bird
5689,cat
5691,bird
5692,dog
5694,dog
5697,automobile
5700,cat
5701,cat
5705,bird
5708,bird
5709,bird
5712,bird
5713,dog
5714,bird
5718,automobile
